CUST_ID,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT
C12397,1100.941072,117.32,0,5573.767921,7,3,1500
C15889,79.470417,601.84,601.84,0,0,7,7500
C16861,1690.244293,0,0,272.677146,1,0,3000
C14422,1281.936062,43,0,0,0,1,1500
C12659,36.868847,360,360,0,0,6,3000
C18887,2069.451252,0,0,2849.085564,14,0,3000
C11421,65.253182,1027.41,0,0,0,7,6000
C14103,162.850565,1326.72,303.45,0,0,26,6000
C10583,181.463092,133.39,0,219.143859,2,3,2500
C19056,873.090183,60,0,2963.80144,10,1,2000
C11334,1790.707374,1368,0,2126.381193,7,2,3500
C11211,1114.122532,348.47,124.16,99.20189,1,9,1200
C14109,488.340514,4908.93,2618.57,0,0,108,7500
C13889,1509.177493,0,0,1281.15107,14,0,5000
C18860,1528.122917,0,0,2426.656054,19,0,3500
C13044,4751.340645,309.86,309.86,0,0,5,8600
C11444,27.164388,554.35,89.72,0,0,16,3000
C17673,82.568778,471.64,471.64,0,0,23,1200
C17620,21.881528,89.04,0,0,0,1,2500
C15193,143.553904,1778.76,1051.88,0,0,53,7000
C10008,1823.652743,436.2,436.2,0,0,12,2300
C13457,2948.881234,840.48,330.48,411.828101,7,15,3000
C14761,1411.914825,0,0,127.321884,2,0,1500
C12637,1026.201421,0,0,244.88819,2,0,1200
C10749,1855.212121,32.22,0,37.743145,1,1,2000
C14016,5797.6687,0,0,4639.195255,12,0,6000
C11702,1698.369764,0,0,2253.381516,2,0,4500
C13460,3862.125712,812.78,135.98,3217.292489,13,14,6000
C12205,1571.382204,1849.26,232.5,0,0,19,7000
C13653,5555.173827,6613.09,3018.64,0,0,119,9500
C15734,71.186651,1500,1500,0,0,12,3000
C13036,1588.447753,825.96,0,913.94708,4,4,4000
C14449,852.001697,372.36,372.36,1655.625508,3,5,4000
C10263,5335.302925,0,0,468.958688,2,0,6000
C11243,653.004882,2035.29,775.71,0,0,29,9500
C17070,82.784219,431.28,0,0,0,1,3000
C12122,4196.43487,90.01,0,1804.826917,3,3,8000
C10966,3122.171879,974.3,262,189.408446,5,21,3000
C13602,387.646975,2900.84,2000.24,0,0,54,7500
C16974,2347.486095,0,0,1957.749127,9,0,2950
C11832,9502.256762,2776.09,1352.04,0,0,36,10500
C10770,1560.533094,749.57,539.8,4096.907903,19,7,6000
C17196,89.567592,990.73,0,0,0,9,4000
C13967,3876.778302,0,0,4269.018258,11,0,7500
C11722,628.384411,887.3,47.3,279.557918,1,6,2000
C12475,34.387537,153.18,91.28,0,0,11,2500
C11436,14.434808,237.48,237.48,0,0,12,2500
C17901,987.102704,66.5,0,770.310099,1,1,2500
C16104,2525.683344,0,0,285.193204,5,0,7000
C18066,19.01482,604.26,604.26,0,0,10,4000
