"","ID","Age","Experience","Income","Family","CCAvg","Education","Mortgage","SecuritiesAccount","CDAccount","Online","CreditCard","PersonalLoan","ProbAccepting"
"1",12,30,5,125,4,0.5,3,0,0,1,1,0,NA,1
"2",15,61,35,152,3,3.3,3,0,0,0,1,0,NA,1
"3",37,30,6,118,2,2.8,2,0,0,0,0,0,NA,1
"4",73,60,35,130,3,6.3,3,437,0,1,1,1,NA,1
"5",80,26,2,171,3,6,2,0,0,0,1,0,NA,1
"6",87,56,30,145,4,5.7,2,0,0,1,1,1,NA,1
"7",91,53,28,175,3,3.6,3,0,0,1,1,1,NA,1
"8",97,51,24,189,4,4.75,2,0,0,0,1,0,NA,1
"9",103,30,5,171,2,1.9,2,0,0,0,0,0,NA,1
"10",104,39,9,118,2,6,3,246,0,1,1,1,NA,1
"11",112,56,32,161,1,5.8,3,0,1,0,0,0,NA,1
"12",191,46,20,185,4,7.5,2,428,0,0,0,1,NA,1
"13",197,45,15,202,3,10,3,0,0,0,0,0,NA,1
"14",207,32,7,123,2,2.9,2,0,0,0,1,0,NA,1
"15",211,26,2,172,2,6.9,2,0,0,0,1,0,NA,1
"16",220,44,17,128,2,3.25,2,0,0,0,0,1,NA,1
"17",265,56,32,158,3,3.7,3,0,0,0,1,0,NA,1
"18",270,40,14,179,1,2.6,3,0,0,0,1,0,NA,1
"19",285,50,26,135,2,4.6,3,91,0,0,1,0,NA,1
"20",291,26,0,179,4,2.1,2,0,0,0,0,0,NA,1
"21",296,29,3,175,3,3.3,3,329,0,0,1,0,NA,1
"22",300,46,21,193,2,8.1,3,0,0,0,0,0,NA,1
"23",304,34,9,191,1,4.8,3,0,0,1,1,1,NA,1
"24",321,38,13,169,1,6.8,3,0,0,1,1,1,NA,1
"25",328,32,7,143,3,2.9,3,0,0,0,1,0,NA,1
"26",410,57,31,165,1,1.6,2,0,0,0,1,0,NA,1
"27",413,46,21,159,3,1.9,3,315,0,0,1,0,NA,1
"28",421,64,37,138,2,2.8,2,0,0,0,1,0,NA,1
"29",427,27,3,118,1,3.3,2,0,0,0,1,0,NA,1
"30",433,48,22,152,1,3.5,3,0,0,0,1,0,NA,1
"31",448,41,15,185,1,3.6,2,0,0,0,0,0,NA,1
"32",453,44,20,131,1,4.9,3,0,0,0,1,0,NA,1
